SRR8245064	SRR8245065	SRR8245066	SRR8245067	SRR8245068	SRR8245069	SRR8245070	SRR8245071	SRR8245072	SRR8245073	SRR8245074	SRR8245075	SRR8245076	SRR8245077
ENSMUSG00000025925.15	5.71799586348514	5.47846962306561	5.8645748198461	5.03540959863546	5.58436946773637	5.87683367238728	5.61115047739242	6.01897427097865	5.54476915281968	4.83086030190916	5.36703700797887	5.59169920497507	5.97315232373295	5.42260063543443
ENSMUSG00000043716.14	9.91451562774878	10.0040415743424	9.91023905104528	10.1165731072979	9.97958223977587	9.59101502235073	9.48254988640995	9.53286351079035	10.1650664710292	10.2006411175091	10.1886327617445	10.1883631307303	10.262784577285	10.1822636926395
ENSMUSG00000025921.8	2.27040860513172	1.64700294301944	2.2210901053041	2.68900575621204	3.46267539163485	3.80961426314089	3.88497827699947	3.71361081851789	3.3295041619803	2.61048451949342	2.63196073708323	3.1971651360128	3.25608771283017	3.0271017860056
ENSMUSG00000025939.20	4.44655929855347	4.97925682420913	5.76570080510572	5.03540959863546	5.19294784582226	5.18556610865442	5.00144333503098	4.97026511258407	5.58979708251016	5.73025808804047	5.6140773534067	5.68405205359803	4.81747133036674	5.47771239956232
ENSMUSG00000079658.10	6.17587756346732	5.88320640011825	5.96702918175259	6.59662717061121	6.11290934841445	6.57031401468675	6.71662953000932	6.61256942688835	6.56085653943794	5.65632229874369	5.26950503862567	6.51195481157749	6.34807581277952	6.39764506133327
ENSMUSG00000025940.7	5.66815563706304	5.96077496897292	5.82146510798185	5.26456621432234	5.56053111249085	5.72794240149094	5.79321405081619	5.48054659023405	6.00989506520296	5.65632229874369	5.6914322864579	4.82270991818261	4.98282392835894	5.82237833048842
ENSMUSG00000025779.11	1.37316895159233	0.34344525792742	2.34802894766165	2.46146153368119	2.24319997579515	2.92257002380465	2.71275746312316	1.91031506071868	2.74905903364363	0.955765157350078	1.8077055590568	-0.316487217050482	2.52335194495776	1.48913634311269
ENSMUSG00000025777.9	3.07027437307565	1.84702826722038	2.34802894766165	3.1376754987028	-0.316487217050482	1.110235837015	1.87946217703189	0.838604190669734	-0.316487217050482	-0.316487217050482	-0.316487217050485	2.48156677245347	-0.316487217050482	-0.316487217050482
ENSMUSG00000043760.17	3.34861447402541	0.794555676980334	2.57263110556985	2.03433113538983	1.2482905864075	2.55758714167631	2.29634072069875	1.91031506071868	0.935820432153482	-0.316487217050482	0.654280408909211	-0.316487217050482	0.959354530749488	0.852091349186858
ENSMUSG00000041859.11	7.48815892183003	7.22733940908439	7.31712866730548	7.66608933937636	7.70852670595321	7.01795250143411	6.73900130905836	6.61981443256844	6.53230665756891	7.08806391724858	6.43876049680557	6.86255504857504	6.53133239460816	7.38500350551543
ENSMUSG00000025931.16	-0.316487217050482	2.67630007021377	2.9381422452969	2.03433113538983	-0.316487217050482	3.49957406603986	3.35810175595363	1.18964574878759	2.39034976141138	4.18829521135391	2.21942032190213	-0.316487217050482	-0.316487217050482	3.64317595783707
ENSMUSG00000041779.6	3.68568758752936	2.77776789329111	4.58253324842974	3.53902004115595	5.12955213033197	5.14468192389952	4.67001897628679	3.71361081851789	4.35136228777786	5.18650170578978	4.89279524933589	0.678094528646156	3.8953509960235	5.11020258430657
ENSMUSG00000028033.17	3.07027437307565	2.44906592364177	1.55932163030891	2.79059701013337	1.2482905864075	0.191524000331656	3.03551247142193	0.373699355838402	1.9118464569926	0.241089088734054	0.249052994638902	1.84500057270531	1.62567108483176	1.48913634311269
ENSMUSG00000026156.9	4.89954929169133	3.52550596374166	4.70618526273481	5.05595915393741	4.88276612738059	5.87683367238728	4.38801827815823	5.23846724798194	5.29577730765236	4.35782184864307	3.75716780043424	5.4007819090062	4.69567075675131	4.94793786009639
ENSMUSG00000026155.14	5.10081563255792	4.13507419607885	4.75282369388313	5.21059837850591	4.99373681877079	6.31176910356429	5.00144333503098	5.51203741468547	5.37508771259709	5.02801262152172	4.45944753513063	5.34529485879355	5.47759122424805	5.30562834452913
ENSMUSG00000026154.5	3.99960669112406	2.17922568762569	3.72671944271941	3.80490464503679	3.69938273753884	3.10413460477784	4.23901413067052	4.00675725123384	3.38164837051648	2.85672138474244	3.91293442232925	3.71771029487632	3.73969795405476	3.56389584439946
ENSMUSG00000102495.2	1.60275662905952	0.794555676980334	0.731769401610757	2.1911835589578	2.3582848627663	2.47203950604355	2.51952144242718	3.11859121489174	1.19090769612862	1.21317295499501	2.44038636731649	1.84500057270531	2.07972753262825	2.16264952027416
ENSMUSG00000026153.16	2.81942412613064	-0.316487217050485	3.29401295365062	2.33264262813966	4.01217792714846	2.28403508411149	3.35810175595363	2.24616730438506	0.625731565949676	0.241089088734054	2.5393510953966	-0.316487217050482	-0.316487217050482	2.62000421826898
ENSMUSG00000101939.2	0.321771587166091	4.34801633867782	2.34802894766165	-0.316487217050482	0.668400797003258	2.28403508411149	1.025558090704	0.373699355838402	0.935820432153482	0.955765157350078	1.44892354560341	0.678094528646156	0.645210457762845	1.92952656495112
ENSMUSG00000073725.9	6.17587756346732	6.18974250075279	6.05340218303652	6.24941811744831	6.34691244321482	6.41279401593931	6.43767373839796	6.91308721185968	6.28780320148658	6.1552495706294	6.17198263216528	5.77084701600783	6.62884479134081	6.20859160373608
ENSMUSG00000033569.18	3.14505335114278	1.64700294301944	3.72671944271941	2.9745485459037	1.4692303795462	2.28403508411149	1.87946217703189	2.24616730438506	0.230212737105565	-0.316487217050482	0.970290272957005	-0.316487217050482	1.62567108483176	0.852091349186858
ENSMUSG00000102250.2	1.10000051615724	2.67630007021377	2.46469644378979	-0.316487217050482	-0.316487217050482	1.66705159065559	2.61937231556896	1.70764123518884	-0.316487217050482	-0.316487217050482	-0.316487217050485	-0.316487217050482	0.243053719522106	-0.316487217050482
ENSMUSG00000104132.2	2.27040860513172	2.56715224280851	0.3008250387887	-0.316487217050482	-0.316487217050482	2.71482044630137	-0.316487217050482	-0.316487217050482	-0.316487217050482	-0.316487217050482	-0.316487217050485	-0.316487217050482	0.243053719522106	-0.316487217050482
